"review_np","newversion_review_np"
"http://purl.org/np/RAio--7IbPa3_ZSG3GspUsXeWP2ZwMIzy4Kzos0yZ7NIw",
"http://purl.org/np/RA9liKqSCnL2E1qLfjr0tgw3LYQVjEhns5Noxpmb23nv0",
"http://purl.org/np/RAkh8i194_QadxVVIVMWMzfOyXz9D_3gKiUR4mxn-mM8I",
"http://purl.org/np/RAwcS7tG-K9nhhDd2eAtKtHt5GwIhYUcA1no9v5scoU8E",
"http://purl.org/np/RA9jFuc0wOvjd8Tis5w09VDMnwWwGQaUoqqDV2665acHI",
"http://purl.org/np/RAS-uQZear9RltSQHw4wUJN-Rspq0VrnSD616wvEg2Hfg",
"http://purl.org/np/RAv2_GJH4PbaapFo6skynYinV9FFOEB9kPGw47HxC6IzI",
"http://purl.org/np/RAs-odsHvz6AqhLYAMELeRXsxbMiKb8f8NzMbxPyDba-Q",
"http://purl.org/np/RAVOvkxhwJyssN0QGAwwEkDLhJSyftqp9U-pp4aCHWIl8",
"http://purl.org/np/RA3d1wNhyQRILFaCc4WVBXd12ne3pJ-a9NHSGDWiScLJk",
"http://purl.org/np/RAE1u4Tgwx0z1kDe1Mcsdn6KRLnomKlqRZFRrTaX-HBcM",
"http://purl.org/np/RArrv081fT5rlRJhL6a-Ncimgzlp06badGVDj7kMQOZOE",
"http://purl.org/np/RA7e61cJDtKZCRpIrygSht_h8hp7kte2CdM1OtMiQzyBc",
"http://purl.org/np/RATnFOH121UVN_q4-PYwL98l_XRFhUb0PGb_hiSGnRD3A",
"http://purl.org/np/RAU_qtmakLsaxm2FkyTFgwP2bDHHBGZk9GBDeT0JAfGm8",
"http://purl.org/np/RAuw7Fo-S515A2z48B0fxQBxerj6EQCn5qFLKGQgkZpf0",
"http://purl.org/np/RA-PZUIhvhl__00ef62icnjpY_LPYPOIssulmbR31c4i8",
"http://purl.org/np/RARduGmw6u6XKRLA5nJyNp-B1GsIcgJAqW0GW5TkwLiMs",
"http://purl.org/np/RApSKKPqmRuMaLZBWtWN9X-xqWxieDg2VmWq1HySMnD-k",
"http://purl.org/np/RARu0NIs9zVJw6hm-IF2X-FT84wOEvpgLxnfCeBi94s1s",
"http://purl.org/np/RAlfwCE-scqpM-dRmws8nlsgueZLmaq__NIzVW5Rui71M",
"http://purl.org/np/RAorOLuZlfyIYI0GypT2_X-Z7Ern_E-P5YieLFu-xSB1s",
"http://purl.org/np/RAYaSkoABaiCEOFIF5NuxtfOtgQGv9YEXc1lhy9ZiVgjE",
"http://purl.org/np/RAcEWBk7k2IuF_3CHY_EMWEkGQxA4iKb8pLxFN-cyWoC4",
"http://purl.org/np/RAXC23M6PuzqJyPyI1PxD1kMbAO1hZuhcJ4UojR33sDmQ",
"http://purl.org/np/RAIBpY3_Ob-fGnTo23yCCu86P1KZzPNdqrime6sEHsUPU",
"http://purl.org/np/RA4ecYBb3WaYOd-9zB3ZsSSYAR9AvoeN6VC9HfIQfrprs",
"http://purl.org/np/RA_piT7JTF1kFBGqZnYKVswtQamhCy8Edj4eiA0Zatvv0",
"http://purl.org/np/RA0Ak_exioAtnRt7pfhc3qUE7CwgEdHMt89Frp7LWxdb4",
"http://purl.org/np/RAXdkg1ssTlRWvf-JaVLmxWC_REcW2KkRljhu_9PEBxLM",
"http://purl.org/np/RAmXsR4TSIJBif6OFLvCSe_3fbtgp79AeI_3adbcyiPPM",
"http://purl.org/np/RAEo0vVJDl36yjtiPu-Ndyqn-sDaY_NUy5Aax1qinamvQ",
"http://purl.org/np/RAGfzz5T3p5LQP9rTIpfIjBjsOX6BTL1jl5015NRc_oRE",
"http://purl.org/np/RAXqhZNkCtSHKHmtwk_PobxwQBCQiEkiCz5X8KVvpsZos",
"http://purl.org/np/RAXViOb_BV-sic87FPqPMaDRhCoy7ewM-7rheZyM79Uz0",
"http://purl.org/np/RA38HSbTw9IinK2q_4lp3aDhh-Jw7fASYLE-Vq3NrD--0",
"http://purl.org/np/RAopcyinEZK-YeTDygVClnLSOcEa-ui-PLtoZToQetNa8",
"http://purl.org/np/RAug-T7pRS3r66x8RLCgglvLWTUPEZU6eELmKijHnoMYM",
"http://purl.org/np/RAQh4gyQCcdD59fUytOc5kOtq7uoEER0ihJBcxKsheZHM",
"http://purl.org/np/RALWxVELKuqrkcO9ud2eXr0E2-ot5bl-0NpOIQi1ktrgI",
"http://purl.org/np/RAm04lBKr6LoOoqyfBw89BEyIZBGrdeLYSU-l1mDdh6wM",
"http://purl.org/np/RAlbgqbDxGI7DcECkLtvCoYCl0oC7JSjIM3Qmo6xsxU-U",
"http://purl.org/np/RA9B6Vj6uE6O9Uwjv5SLtxoA6CBCZONJgJ2LJUFhVHbDs",
"http://purl.org/np/RAPEhX9hEJCSMWUbeVGWxi2KP-WmzHXQWbSYsc_5s7rGU",
"http://purl.org/np/RAnF0KQ5CGBjL-pWk37fg2DXMkgZuzgDNvXnD7wPaTZjY",
"http://purl.org/np/RAtxvhGFng6jC64kXFZ8mmMDc1fsa5WPmRpL0fNoEGwbc",
"http://purl.org/np/RAw0HUK3Jg2wJNuyYBcyq2bDnWXkvpQjgcM6OvyUqPPgQ",
"http://purl.org/np/RAIolZf0Ko5Klrr5FWt0Wqr_GrNa2PxyxLhlz8y4eGIUk",
"http://purl.org/np/RAaFeW4Bj3Y7DpKTdi8d3XZVF-8rZJS2v7St62NEdOumg",
"http://purl.org/np/RAy-yPfCs1qyCgcXIuItdCQ2w5TJMmOSifQ-Tog8yt1N0",
"http://purl.org/np/RA157Nzn31vVtHtrMQgOXML5iyDjjlp3kkp9yVIKU8buw",
"http://purl.org/np/RAGIam9RdG-5otB3CCwDNg1h8pMjUS1Qy4cOLXRlnffjo",
"http://purl.org/np/RAmxClZM36_nbsLO4Kw8dyroPBv20DQH3lCNAOnqJXBZ8",
"http://purl.org/np/RAhoOM0_PnZ-O30J6Gz7rTy3b6jIRlAq_kKOD8wLYVcO4",
"http://purl.org/np/RAhyiHbc_7uGqAhD-DE4YPyX9uJ1Yg5Er9bTr0RhZ0vSs",
"http://purl.org/np/RA-miPrNdymKxeAk5hyVFlTQ35vPEJTF4YvmYAcQ8ufOA",
"http://purl.org/np/RA4zu3y98zRapBDzYOuBf--RkJCAgnQA393Pb_IHawWBI",
"http://purl.org/np/RAa0IEe29Lp_w4oGM-JZgP5AAgF1xcLx-aWkvwi5Sg9XM",
"http://purl.org/np/RAEXBWB39ZKCaNTalc0K6hrU1UdWQpRu7Rl8RDO4fBydo",
"http://purl.org/np/RAnghJFLSoLxO6AHk6tCbIa8wEus26nqgqO91BuMehvow",
"http://purl.org/np/RAkE7yrMj7qDvlTFP4aLOZCqtTInXGsm93kZaO7fkEixs",
"http://purl.org/np/RAnb5-OisRldUSR06piqwRDOZ7YKroF_RdecKroUtO2lg",
"http://purl.org/np/RAulb_vr2ZUKLUBUhsx8RWC75c4UViIcLXaMMbn7z4JuE",
"http://purl.org/np/RAz-E7YOwL-RCifo12zsEs0J50LlXkWwgcLpx3CTh3hGM",
"http://purl.org/np/RAZQ8pshLDm1v2imvtF2apl9rAP0MjeCpD0kZ6ky6mV24",
"http://purl.org/np/RAOBLvwlzrROjza_vzDuMiG8Ea1qc0JISyoNFt8OJDk3M",
"http://purl.org/np/RAFiUTEjerOTBy0fscTQrTDDKoqaGBL3NXPxterEVMfs4",
"http://purl.org/np/RAUIRPBS5xg8wc9LR6s4kiuTf5kSkyYlaHqIAO6LCqHMY",
"http://purl.org/np/RACefo-6H6Mu2grt1xMgw-_23yzqCmZXhE4cycALDXrHg",
"http://purl.org/np/RAvKVAhQ4K1XOV7VuVj7sOHu9DWTrzowXRH4qffzf5my8",
"http://purl.org/np/RAx9CGRhaeTQFExlb1xrUlk1tVSQv1uj58vesTalQOkLE",
"http://purl.org/np/RASUNuFag1tEc7eMPQZovFiQZtA29DIFplZ982LQdg838",
"http://purl.org/np/RA0AMmdDvY5MpFV1JIroq2akgWPYgSfyKLxpjoHn1Oaro",
"http://purl.org/np/RAl1q8Wcan6qcYeek9WHXv736vuPJr3x-M9ZoeZNy6_x8",
"http://purl.org/np/RALbwlXSd3y1WviWuEdITD87lSbTIY5r52sf1M5xz46YQ",
"http://purl.org/np/RA7k6cVTww-PUNrhFom4tp379xF9R4bB7O68igHo-4E1E",
"http://purl.org/np/RAqj2d3QxMBAvsKYuXlcHCLYq7DZ34GiSbUd5biYUItmk",
"http://purl.org/np/RAeSpvWpdaPJZj1L51mBnAq_AqWXmh5fKlEyOSdex64m0",
